date_time,hour,day_of_week,month,weather_main,temperature_c,rain_1h,clouds_all,traffic_volume
2012-10-02 10:00:00,10,Tuesday,October,Clouds,16.210000000000036,0.0,75,4516
2012-10-02 13:00:00,13,Tuesday,October,Clouds,17.99000000000001,0.0,75,4918
2012-10-02 15:00:00,15,Tuesday,October,Clear,20.02000000000004,0.0,1,5584
2012-10-02 16:00:00,16,Tuesday,October,Clear,20.710000000000036,0.0,1,6015
2012-10-02 22:00:00,22,Tuesday,October,Clear,14.010000000000048,0.0,1,1529
2012-10-03 09:00:00,9,Wednesday,October,Clear,9.330000000000041,0.0,1,5471
2012-10-03 23:00:00,23,Wednesday,October,Clear,12.110000000000014,0.0,1,1015
2012-10-04 05:00:00,5,Thursday,October,Clear,8.170000000000016,0.0,1,2726
2012-10-04 11:00:00,11,Thursday,October,Clear,18.400000000000034,0.0,1,4884
2012-10-04 17:00:00,17,Thursday,October,Clouds,24.52000000000004,0.0,20,6057
2012-10-04 18:00:00,18,Thursday,October,Clouds,23.210000000000036,0.0,40,4907
2012-10-05 03:00:00,3,Friday,October,Clear,16.110000000000014,0.0,0,368
2012-10-05 12:00:00,12,Friday,October,Clouds,7.3799999999999955,0.0,90,5870
2012-10-05 13:00:00,13,Friday,October,Clouds,8.28000000000003,0.0,75,5967
2012-10-05 18:00:00,18,Friday,October,Clouds,7.720000000000027,0.0,90,5384
2012-10-06 02:00:00,2,Saturday,October,Clouds,5.439999999999998,0.0,90,545
2012-10-06 05:00:00,5,Saturday,October,Clouds,3.2000000000000455,0.0,20,688
2012-10-06 06:00:00,6,Saturday,October,Clear,2.25,0.0,1,1352
2012-10-06 08:00:00,8,Saturday,October,Clear,1.8400000000000318,0.0,1,3342
2012-10-06 09:00:00,9,Saturday,October,Clouds,1.9399999999999977,0.0,40,4258
2012-10-06 10:00:00,10,Saturday,October,Clouds,3.730000000000018,0.0,20,4861
2012-10-06 12:00:00,12,Saturday,October,Clouds,5.930000000000007,0.0,40,5669
2012-10-06 16:00:00,16,Saturday,October,Clouds,5.910000000000025,0.0,90,5024
2012-10-06 18:00:00,18,Saturday,October,Clouds,5.240000000000009,0.0,90,4362
2012-10-07 07:00:00,7,Sunday,October,Clouds,1.6200000000000045,0.0,90,1539
2012-10-07 14:00:00,14,Sunday,October,Clouds,6.1200000000000045,0.0,90,6589
2012-10-07 17:00:00,17,Sunday,October,Clouds,6.170000000000016,0.0,90,3833
2012-10-07 18:00:00,18,Sunday,October,Clouds,6.1200000000000045,0.0,90,4015
2012-10-07 20:00:00,20,Sunday,October,Clouds,3.640000000000043,0.0,75,2815
2012-10-08 01:00:00,1,Monday,October,Clouds,-0.5299999999999727,0.0,20,336
2012-10-08 02:00:00,2,Monday,October,Clear,-1.3700000000000045,0.0,1,265
2012-10-08 04:00:00,4,Monday,October,Clear,-2.519999999999982,0.0,1,779
2012-10-08 07:00:00,7,Monday,October,Clouds,-3.1399999999999864,0.0,20,6676
2012-10-08 08:00:00,8,Monday,October,Clouds,-1.919999999999959,0.0,20,5966
2012-10-08 11:00:00,11,Monday,October,Clouds,6.32000000000005,0.0,20,4411
2012-10-08 13:00:00,13,Monday,October,Clouds,9.189999999999998,0.0,40,4602
2012-10-08 18:00:00,18,Monday,October,Clouds,11.080000000000041,0.0,40,4259
2012-10-09 16:00:00,16,Tuesday,October,Clouds,15.379999999999995,0.0,90,6349
